Sample_ID,Word,Language_Indo,Meaning_in_Indonesia,Sentence_in_Indo,Sentence_Clean_Indo,English_Translation_Indo,Category,Language_Malay,Meaning_in_Malay,Sentence_in_Malay,Sentence_Clean_Malay,English_Translation_Malay,False_Friend_Type,Review_Status
FF0015,bas,Indonesian / Bahasa Indonesia,bass (music); boss (slang),Bas dalam lagu itu sangat kuat.,bas dalam lagu itu sangat kuat,The bass in the song is very strong.,Maritime & Transport,Malay / Bahasa Malaysia,bus,Bas terakhir ke bandar bertolak jam 11.,bas terakhir ke bandar bertolak jam 11,The last bus to town departs at 11,same_form_different_meaning,OK
FF0016,batuk kering,Indonesian / Bahasa Indonesia,dry cough,Dia mengalami batuk kering sejak seminggu lalu.,dia mengalami batuk kering sejak seminggu lalu,He has had a dry cough for a week.,Medicine & Healthcare,Malay / Bahasa Malaysia,tuberculosis (TB),Pesakit disyaki batuk kering dan perlu saringan.,pesakit disyaki batuk kering dan perlu saringan,The patient is suspected of TB and needs screening,same_form_different_meaning,OK
FF0017,belanja,Indonesian / Bahasa Indonesia,shopping,Aku mahu pergi belanja.,aku mahu pergi belanja,I want to go shopping.,Economy & Finance,Malay / Bahasa Malaysia,treat,Jom saya belanja awak.,jom saya belanja awak,Let me treat you./ I want to go shopping.,same_form_different_meaning,OK
FF0018,bendahara,Indonesian / Bahasa Indonesia,treasurer,Bendahara berkhidmat di istana pada zaman silam.,bendahara berkhidmat di istana pada zaman silam,The vizier served at the palace in ancient times.,Law & Public Administration,Malay / Bahasa Malaysia,vizier (historical),Bendahara sekolah mengurus yuran.,bendahara sekolah mengurus yuran,The treasurer manages fees,same_form_different_meaning,OK
FF0019,bendahari,Indonesian / Bahasa Indonesia,female treasurer (gendered form),Bendahari dilantik melalui mesyuarat.,bendahari dilantik melalui mesyuarat,The treasurer was appointed by meeting.,Law & Public Administration,Malay / Bahasa Malaysia,treasurer (general),Bendahari itu menyiapkan laporan kewangan.,bendahari itu menyiapkan laporan kewangan,The (female) treasurer prepared the financial report,same_form_different_meaning,OK
FF0020,benteng,Indonesian / Bahasa Indonesia,fort; rook (chess),Benteng pertahanan dibina pada abad lalu.,benteng pertahanan dibina pada abad lalu,A defensive fort was built last century.,Property & Infrastructure,Malay / Bahasa Malaysia,embankment / levee,Benteng sungai dibaiki selepas banjir.,benteng sungai dibaiki selepas banjir,The river embankment was repaired after flooding,same_form_different_meaning,OK
FF0021,berbagi,Indonesian / Bahasa Indonesia,to share,Dia berbagi makanan kepada jiran.,dia berbagi makanan kepada jiran,He gave food to the neighbors.,General/Operations,Malay / Bahasa Malaysia,to give (as a gift/hand over),Dia berbagi fail itu kepada pasukan.,dia berbagi fail itu kepada pasukan,He shared the file with the team,same_form_different_meaning,OK
FF0022,beredar,Indonesian / Bahasa Indonesia,to circulate/distribute,Pekeliling itu sudah beredar ke semua jabatan.,pekeliling itu sudah beredar ke semua jabatan,The circular has been distributed to all departments.,General/Operations,Malay / Bahasa Malaysia,to leave/depart,Mesyuarat tamat; sila beredar.,mesyuarat tamat sila beredar,The meeting is over; please leave,same_form_different_meaning,OK
FF0023,berlaku,Indonesian / Bahasa Indonesia,to apply (rules/laws apply),Peraturan ini berlaku mulai esok.,peraturan ini berlaku mulai esok,This regulation applies starting tomorrow.,Law & Public Administration,Malay / Bahasa Malaysia,to happen/occur,Perubahan itu berlaku tiba-tiba.,perubahan itu berlaku tiba-tiba,The change happened suddenly,same_form_different_meaning,OK
FF0024,berupaya,Indonesian / Bahasa Indonesia,to make an effort,Kami berupaya meningkatkan kualiti perkhidmatan.,kami berupaya meningkatkan kualiti perkhidmatan,We are making efforts to improve service quality.,General/Operations,Malay / Bahasa Malaysia,capable/able,Syarikat berupaya memproses 1 juta rekod sehari.,syarikat berupaya memproses 1 juta rekod sehari,The company is capable of processing 1 million records a day,same_form_different_meaning,OK
FF0025,bicara,Indonesian / Bahasa Indonesia,to speak; to talk,Kami bicara soal peraturan baharu.,kami bicara soal peraturan baharu,We talked about the new regulation.,Law & Public Administration,Malay / Bahasa Malaysia,to try (in court); to discuss,Kes itu dibicara minggu depan.,kes itu dibicara minggu depan,The case will be tried next week,same_form_different_meaning,OK
FF0026,bila,Indonesian / Bahasa Indonesia,if/when (conjunction),"Bila data siap, kirimkan segera.",bila data siap kirimkan segera,"When the data is ready, send it immediately.",General/Operations,Malay / Bahasa Malaysia,when (question word),Bila mesyuarat bermula?,bila mesyuarat bermula,When does the meeting start?,same_form_different_meaning,OK
FF0027,bisa,Indonesian / Bahasa Indonesia,can/able,Saya bisa selesaikan tugasan ini hari ini.,saya bisa selesaikan tugasan ini hari ini,I can finish this task today.,Medicine & Healthcare,Malay / Bahasa Malaysia,venom/poison,Bisa ular itu dirawat segera di hospital.,bisa ular itu dirawat segera di hospital,Snake venom was treated immediately at the hospital,same_form_different_meaning,OK
FF0028,bon,Indonesian / Bahasa Indonesia,receipt,Simpan bon pembelian sebagai bukti.,simpan bon pembelian sebagai bukti,Keep the purchase receipt as proof.,Economy & Finance,Malay / Bahasa Malaysia,bond/debenture,Syarikat menerbitkan bon korporat.,syarikat menerbitkan bon korporat,The company issued corporate bonds,same_form_different_meaning,OK
FF0029,budak,Indonesian / Bahasa Indonesia,"slave, servant",Jangan panggil kami budak!,jangan panggil kami budak,Don't call me slave!,General,Malay / Bahasa Malaysia,"child, kid",Dia seorang budak yang bijak.,dia seorang budak yang bijak,He's a smart boy.,same_form_different_meaning,OK
FF0030,cadangan,Indonesian / Bahasa Indonesia,spare (replacement),Kami sediakan unit cadangan untuk kecemasan.,kami sediakan unit cadangan untuk kecemasan,We prepared a spare unit for emergencies.,Law & Public Administration,Malay / Bahasa Malaysia,proposal/suggestion,Cadangan pindaan undang-undang itu dibahas hari ini.,cadangan pindaan undang-undang itu dibahas hari ini,The proposed amendment is discussed today,same_form_different_meaning,OK
FF0031,capaian,Indonesian / Bahasa Indonesia,achievement,Capaian pasukan tahun ini sangat baik.,capaian pasukan tahun ini sangat baik,The teamâ€™s achievements this year are excellent.,Information Technology,Malay / Bahasa Malaysia,access (IT),Capaian ke sistem memerlukan MFA.,capaian ke sistem memerlukan mfa,System access requires MFA,same_form_different_meaning,OK
FF0032,catatan,Indonesian / Bahasa Indonesia,entry (record entry),Catatan perkara dimasukkan ke dalam register.,catatan perkara dimasukkan ke dalam register,The case entry was logged in the register.,Law & Public Administration,Malay / Bahasa Malaysia,note/record/remark; warning,Ada catatan amaran pada fail itu.,ada catatan amaran pada fail itu,There is a warning note in the file,same_form_different_meaning,OK
FF0033,ceroboh,Indonesian / Bahasa Indonesia,indecent/improper; rude/careless,Tindakan ceroboh pegawai itu merosakkan prosedur.,tindakan ceroboh pegawai itu merosakkan prosedur,That officialâ€™s careless act broke procedure.,Law & Public Administration,Malay / Bahasa Malaysia,trespass,Dia ditangkap kerana ceroboh tanah kerajaan.,dia ditangkap kerana ceroboh tanah kerajaan,He was arrested for trespassing on government land,same_form_different_meaning,OK
FF0034,cukai,Indonesian / Bahasa Indonesia,excise duty,Cukai rokok dinaikkan tahun ini.,cukai rokok dinaikkan tahun ini,Cigarette excise was raised this year.,Law & Public Administration,Malay / Bahasa Malaysia,tax (general),Cukai pendapatan perlu dibayar sebelum tarikh akhir.,cukai pendapatan perlu dibayar sebelum tarikh akhir,Income tax must be paid before the deadline,same_form_different_meaning,OK
FF0035,darurat,Indonesian / Bahasa Indonesia,emergency (general),Tim darurat dikerahkan untuk bencana.,tim darurat dikerahkan untuk bencana,The emergency team was deployed for the disaster.,Law & Public Administration,Malay / Bahasa Malaysia,state of emergency,Darurat diisytiharkan selepas rusuhan.,darurat diisytiharkan selepas rusuhan,A state of emergency was declared after the riot,same_form_different_meaning,OK
FF0036,daur,Indonesian / Bahasa Indonesia,cycle/rotation,Daur pemilihan berlangsung lima tahun.,daur pemilihan berlangsung lima tahun,The election period lasts five years.,Science & Engineering,Malay / Bahasa Malaysia,period (time),Daur hayat produk dianalisis.,daur hayat produk dianalisis,Product life cycle is analyzed,same_form_different_meaning,OK
FF0037,daya,Indonesian / Bahasa Indonesia,power (physics),Daya elektrik diukur dalam watt.,daya elektrik diukur dalam watt,Electric power is measured in watts.,Science & Engineering,Malay / Bahasa Malaysia,force (physics),Daya geseran menghalang gerakan.,daya geseran menghalang gerakan,Frictional force resists motion,same_form_different_meaning,OK
FF0038,debit,Indonesian / Bahasa Indonesia,discharge/flow rate (hydrology),Catat debit pada lejar akaun.,catat debit pada lejar akaun,Record the debit in the account ledger.,Science & Engineering,Malay / Bahasa Malaysia,debit (accounting),Debit sungai meningkat selepas hujan.,debit sungai meningkat selepas hujan,River discharge increased after rain,same_form_different_meaning,OK
FF0039,dekat,Indonesian / Bahasa Indonesia,near,Kantor itu dekat balai kota.,kantor itu dekat balai kota,The office is near city hall.,Law & Public Administration,Malay / Bahasa Malaysia,at/in/on (locative preposition),Fail itu ada dekat pejabat.,fail itu ada dekat pejabat,The file is at the office,same_form_different_meaning,OK
FF0040,detik,Indonesian / Bahasa Indonesia,second (time unit),"Tunggu sekejap, dalam detik ini saya datang.",tunggu sekejap dalam detik ini saya datang,"Wait a moment, Iâ€™ll come in a jiffy.",Science & Engineering,Malay / Bahasa Malaysia,jiffy/very short moment,"Dalam satu detik, sistem memproses ribuan permintaan.",dalam satu detik sistem memproses ribuan permintaan,In one second the system processes thousands of requests,same_form_different_meaning,OK
FF0041,detik akhir,Indonesian / Bahasa Indonesia,akhir second (time unit),"Tunggu detik akhir, saya kembali.",tunggu detik akhir saya kembali,"Wait a akhir moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,akhir jiffy/moment,"Dalam detik akhir, sensor menghantar data.",dalam detik akhir sensor menghantar data,Within akhir seconds the sensor sends data,same_form_different_meaning,OK
FF0042,detik ini,Indonesian / Bahasa Indonesia,ini second (time unit),"Tunggu detik ini, saya kembali.",tunggu detik ini saya kembali,"Wait a ini moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,ini jiffy/moment,"Dalam detik ini, sensor menghantar data.",dalam detik ini sensor menghantar data,Within ini seconds the sensor sends data,same_form_different_meaning,OK
FF0043,detik kritikal,Indonesian / Bahasa Indonesia,kritikal second (time unit),"Tunggu detik kritikal, saya kembali.",tunggu detik kritikal saya kembali,"Wait a kritikal moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,kritikal jiffy/moment,"Dalam detik kritikal, sensor menghantar data.",dalam detik kritikal sensor menghantar data,Within kritikal seconds the sensor sends data,same_form_different_meaning,OK
FF0044,detik masa,Indonesian / Bahasa Indonesia,masa second (time unit),"Tunggu detik masa, saya kembali.",tunggu detik masa saya kembali,"Wait a masa moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,masa jiffy/moment,"Dalam detik masa, sensor menghantar data.",dalam detik masa sensor menghantar data,Within masa seconds the sensor sends data,same_form_different_meaning,OK
FF0045,detik pemprosesan,Indonesian / Bahasa Indonesia,pemprosesan second (time unit),"Tunggu detik pemprosesan, saya kembali.",tunggu detik pemprosesan saya kembali,"Wait a pemprosesan moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,pemprosesan jiffy/moment,"Dalam detik pemprosesan, sensor menghantar data.",dalam detik pemprosesan sensor menghantar data,Within pemprosesan seconds the sensor sends data,same_form_different_meaning,OK
FF0046,detik pengukuran,Indonesian / Bahasa Indonesia,pengukuran second (time unit),"Tunggu detik pengukuran, saya kembali.",tunggu detik pengukuran saya kembali,"Wait a pengukuran moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,pengukuran jiffy/moment,"Dalam detik pengukuran, sensor menghantar data.",dalam detik pengukuran sensor menghantar data,Within pengukuran seconds the sensor sends data,same_form_different_meaning,OK
FF0047,detik permulaan,Indonesian / Bahasa Indonesia,permulaan second (time unit),"Tunggu detik permulaan, saya kembali.",tunggu detik permulaan saya kembali,"Wait a permulaan moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,permulaan jiffy/moment,"Dalam detik permulaan, sensor menghantar data.",dalam detik permulaan sensor menghantar data,Within permulaan seconds the sensor sends data,same_form_different_meaning,OK
FF0048,detik sekarang,Indonesian / Bahasa Indonesia,sekarang second (time unit),"Tunggu detik sekarang, saya kembali.",tunggu detik sekarang saya kembali,"Wait a sekarang moment, I will be back.",Science & Engineering,Malay / Bahasa Malaysia,sekarang jiffy/moment,"Dalam detik sekarang, sensor menghantar data.",dalam detik sekarang sensor menghantar data,Within sekarang seconds the sensor sends data,same_form_different_meaning,OK
FF0049,dingin,Indonesian / Bahasa Indonesia,cold; chilly,Hari ini cuaca dingin.,hari ini cuaca dingin,Today the weather is cold.,General,Malay / Bahasa Malaysia,cold; aloof,Dia memberikan respons yang dingin.,dia memberikan respons yang dingin,He gave a cold response./ It is a cold day.,same_form_different_meaning,OK
FF0050,disenteri,Indonesian / Bahasa Indonesia,to be shined by flashlight,Dia disenteri dengan lampu suluh untuk cari kunci.,dia disenteri dengan lampu suluh untuk cari kunci,He was shone with a flashlight to look for keys.,Medicine & Healthcare,Malay / Bahasa Malaysia,dysentery,Kanak-kanak itu dirawat kerana disenteri.,kanak-kanak itu dirawat kerana disenteri,The child was treated for dysentery,same_form_different_meaning,OK
FF0051,doktor,Indonesian / Bahasa Indonesia,PhD holder,Doktor hukum itu menjadi saksi ahli.,doktor hukum itu menjadi saksi ahli,The law doctorate holder served as an expert witness.,Law & Public Administration,Malay / Bahasa Malaysia,medical doctor,Doktor tersebut memberi keterangan di mahkamah.,doktor tersebut memberi keterangan di mahkamah,The doctor testified in court,same_form_different_meaning,OK
FF0052,dorong,Indonesian / Bahasa Indonesia,to push; to motivate,Dia dorong troli ke gudang.,dia dorong troli ke gudang,He pushed the trolley to the warehouse.,Science & Engineering,Malay / Bahasa Malaysia,to propel,Mesin ini mendorong aliran air.,mesin ini mendorong aliran air,This machine propels water flow,same_form_different_meaning,OK
FF0053,duduk,Indonesian / Bahasa Indonesia,to sit,Silakan duduk di ruang tunggu.,silakan duduk di ruang tunggu,Please sit in the waiting room.,General/Operations,Malay / Bahasa Malaysia,to reside/live (informal),Awak duduk dekat mana sekarang?,awak duduk dekat mana sekarang,Where do you live now?,same_form_different_meaning,OK
FF0054,dukung,Indonesian / Bahasa Indonesia,to support,Kami dukung polisi ini secara kolektif.,kami dukung polisi ini secara kolektif,We collectively support this policy.,General/Operations,Malay / Bahasa Malaysia,to carry in the arms,Ibu dukung bayi itu dengan berhati-hati.,ibu dukung bayi itu dengan berhati-hati,The mother carried the baby carefully,same_form_different_meaning,OK
FF0055,elektronik,Indonesian / Bahasa Indonesia,electronics devices/equipment,Peralatan elektronik itu rusak.,peralatan elektronik itu rusak,That electronic device is broken.,Science & Engineering,Malay / Bahasa Malaysia,electronics (field of study),Saya ambil kursus elektronik semester ini.,saya ambil kursus elektronik semester ini,I take an electronics course this semester,same_form_different_meaning,OK
FF0056,email,Indonesian / Bahasa Indonesia,enamel (coating),Gigi itu dilapisi email yang kuat.,gigi itu dilapisi email yang kuat,The tooth is covered with strong enamel.,Information Technology,Malay / Bahasa Malaysia,electronic mail,Saya hantar email kepada pensyarah.,saya hantar email kepada pensyarah,I sent an email to the lecturer,same_form_different_meaning,OK
FF0057,fabrik,Indonesian / Bahasa Indonesia,(geology) rock fabric/structure,Peneliti menganalisis fabrik batuan metamorf.,peneliti menganalisis fabrik batuan metamorf,The researcher analyzed metamorphic rock fabric.,Science & Engineering,Malay / Bahasa Malaysia,fabric/textile,Kain itu dibuat daripada fabrik kapas.,kain itu dibuat daripada fabrik kapas,The cloth is made from cotton fabric,same_form_different_meaning,OK
FF0058,faedah,Indonesian / Bahasa Indonesia,profit/gain,Kami hitung faedah bersih perusahaan.,kami hitung faedah bersih perusahaan,We calculated the companyâ€™s net profit.,Economy & Finance,Malay / Bahasa Malaysia,benefit; interest (finance),Faedah pinjaman bank itu rendah.,faedah pinjaman bank itu rendah,The loan interest is low,same_form_different_meaning,OK
FF0059,farmasi,Indonesian / Bahasa Indonesia,pharmacy (science),Dia kuliah farmasi di universitas.,dia kuliah farmasi di universitas,She studies pharmacy at university.,Medicine & Healthcare,Malay / Bahasa Malaysia,pharmacy (place/dispensary),Saya pergi ke farmasi untuk ambil ubat.,saya pergi ke farmasi untuk ambil ubat,I went to the pharmacy to get medicine,same_form_different_meaning,OK
FF0060,farmasi atas talian,Indonesian / Bahasa Indonesia,pharmacy as a science field related to atas talian,Dia meneliti farmasi atas talian untuk tesisnya.,dia meneliti farmasi atas talian untuk tesisnya,He researches atas talian-related pharmacy science for his thesis.,Medicine & Healthcare,Malay / Bahasa Malaysia,pharmacy/dispensary service in atas talian,Farmasi atas talian menyediakan ubat preskripsi.,farmasi atas talian menyediakan ubat preskripsi,The atas talian pharmacy dispenses prescription drugs,same_form_different_meaning,OK
FF0061,farmasi hospital,Indonesian / Bahasa Indonesia,pharmacy as a science field related to hospital,Dia meneliti farmasi hospital untuk tesisnya.,dia meneliti farmasi hospital untuk tesisnya,He researches hospital-related pharmacy science for his thesis.,Medicine & Healthcare,Malay / Bahasa Malaysia,pharmacy/dispensary service in hospital,Farmasi hospital menyediakan ubat preskripsi.,farmasi hospital menyediakan ubat preskripsi,The hospital pharmacy dispenses prescription drugs,same_form_different_meaning,OK
FF0062,farmasi universiti,Indonesian / Bahasa Indonesia,pharmacy as a science field related to universiti,Dia meneliti farmasi universiti untuk tesisnya.,dia meneliti farmasi universiti untuk tesisnya,He researches universiti-related pharmacy science for his thesis.,Medicine & Healthcare,Malay / Bahasa Malaysia,pharmacy/dispensary service in universiti,Farmasi universiti menyediakan ubat preskripsi.,farmasi universiti menyediakan ubat preskripsi,The universiti pharmacy dispenses prescription drugs,same_form_different_meaning,OK
FF0063,gabungan,Indonesian / Bahasa Indonesia,alliance/federation/union,Gabungan elemen A dan B membentuk himpunan baru.,gabungan elemen a dan b membentuk himpunan baru,The union of sets A and B forms a new set.,Science & Engineering,Malay / Bahasa Malaysia,combination (math/statistics sense),Gabungan itu membentuk konsortium penyelidikan.,gabungan itu membentuk konsortium penyelidikan,The alliance formed a research consortium,same_form_different_meaning,OK
FF0064,gampang,Indonesian / Bahasa Indonesia,easy; simple,Ujian itu gampang.,ujian itu gampang,The test is easy.,General,Malay / Bahasa Malaysia,bastard,Kau ni macam gampang!,kau ni macam gampang,You are bastard.,same_form_different_meaning,OK
FF0065,getah,Indonesian / Bahasa Indonesia,(obsolete/rare) bodily fluid/juice,Getah itu keluar dari luka kecil.,getah itu keluar dari luka kecil,Fluid seeped from a small wound.,Agriculture & Environment,Malay / Bahasa Malaysia,latex; rubber,Getah pokok itu digunakan untuk buat tayar.,getah pokok itu digunakan untuk buat tayar,The tree latex is used to make tires,same_form_different_meaning,OK
FF0066,gimnasium,Indonesian / Bahasa Indonesia,gymnasium (education institution),Ia belajar di gimnasium (sekolah menengah) di Eropah.,ia belajar di gimnasium sekolah menengah di eropah,He studied at a gymnasium (school) in Europe.,Education & Research,Malay / Bahasa Malaysia,gymnasium (sports facility),Pelajar berlatih di gimnasium sekolah.,pelajar berlatih di gimnasium sekolah,Students train in the school gym,same_form_different_meaning,OK
FF0067,gondol,Indonesian / Bahasa Indonesia,to carry in the mouth; to pilfer,Dia gondol sejak muda.,dia gondol sejak muda,He has been bald since young.,General/Operations,Malay / Bahasa Malaysia,bald,Kucing itu gondol ikan dari dapur.,kucing itu gondol ikan dari dapur,The cat stole and carried a fish from the kitchen,same_form_different_meaning,OK
FF0068,graf,Indonesian / Bahasa Indonesia,graph (linguistics/typography),Ahli tipografi membahas graf dalam aksara.,ahli tipografi membahas graf dalam aksara,A typographer discusses a graph in script.,Education & Research,Malay / Bahasa Malaysia,graph (math/statistics),Pelajar statistik melukis graf taburan.,pelajar statistik melukis graf taburan,Statistics students draw a distribution graph,same_form_different_meaning,OK
FF0069,grafik,Indonesian / Bahasa Indonesia,graph (statistics),Grafik menunjukkan tren kenaikan suhu.,grafik menunjukkan tren kenaikan suhu,The chart shows an upward temperature trend.,Information Technology,Malay / Bahasa Malaysia,graphic; graphics (visuals),Reka grafik untuk poster itu siap.,reka grafik untuk poster itu siap,The graphic design is ready,same_form_different_meaning,OK
FF0070,guru besar,Indonesian / Bahasa Indonesia,professor/senior lecturer,Guru besar itu menerbitkan jurnal baharu.,guru besar itu menerbitkan jurnal baharu,The professor published a new journal.,Education & Research,Malay / Bahasa Malaysia,school principal,Guru besar sekolah mengumumkan cuti.,guru besar sekolah mengumumkan cuti,The school principal announced a holiday,same_form_different_meaning,OK
FF0071,guru besar fakulti,Indonesian / Bahasa Indonesia,professor/senior lecturer of fakulti,Guru besar fakulti membentangkan kertas kerja.,guru besar fakulti membentangkan kertas kerja,The fakulti professor presented a paper.,Education & Research,Malay / Bahasa Malaysia,fakulti principal/headteacher,Guru besar fakulti menandatangani surat rasmi.,guru besar fakulti menandatangani surat rasmi,The fakulti headteacher signed the official letter,same_form_different_meaning,OK
FF0072,guru besar kolej,Indonesian / Bahasa Indonesia,professor/senior lecturer of kolej,Guru besar kolej membentangkan kertas kerja.,guru besar kolej membentangkan kertas kerja,The kolej professor presented a paper.,Education & Research,Malay / Bahasa Malaysia,kolej principal/headteacher,Guru besar kolej menandatangani surat rasmi.,guru besar kolej menandatangani surat rasmi,The kolej headteacher signed the official letter,same_form_different_meaning,OK
FF0073,guru besar makmal,Indonesian / Bahasa Indonesia,professor/senior lecturer of makmal,Guru besar makmal membentangkan kertas kerja.,guru besar makmal membentangkan kertas kerja,The makmal professor presented a paper.,Education & Research,Malay / Bahasa Malaysia,makmal principal/headteacher,Guru besar makmal menandatangani surat rasmi.,guru besar makmal menandatangani surat rasmi,The makmal headteacher signed the official letter,same_form_different_meaning,OK
FF0074,guru besar penyelidikan,Indonesian / Bahasa Indonesia,professor/senior lecturer of penyelidikan,Guru besar penyelidikan membentangkan kertas kerja.,guru besar penyelidikan membentangkan kertas kerja,The penyelidikan professor presented a paper.,Education & Research,Malay / Bahasa Malaysia,penyelidikan principal/headteacher,Guru besar penyelidikan menandatangani surat rasmi.,guru besar penyelidikan menandatangani surat rasmi,The penyelidikan headteacher signed the official letter,same_form_different_meaning,OK
